position,body_fat_pct,hand_length,hand_width,height_wo_shoes,height_w_shoes,standing_reach,weight,wingspan,player_id
SF,6.6,223,239,1983,2017,2631,215.5,2111,michael-porterjr-1
SF,6.6,223,239,1983,2017,2631,215.5,2111,mikal-bridges-1
SF,6.6,223,239,1983,2017,2631,215.5,2111,romero-osby-1
SF,6.6,223,239,1983,2017,2631,215.5,2111,arsalan-kazemi-1
SF,6.6,223,239,1983,2017,2631,215.5,2111,andrew-wiggins-1
SF,6.6,223,239,1983,2017,2631,215.5,2111,vince-edwards-2
SF,6.6,223,239,1983,2017,2631,215.5,2111,sirdominic-pointer-1
SF,6.6,223,239,1983,2017,2631,215.5,2111,brandon-ingram-1
SF,6.6,223,239,1983,2017,2631,215.5,2111,josh-jackson-2
SF,6.6,223,239,1983,2017,2631,215.5,2111,jayson-tatum-1
SG,6.4,218,234,1932,1965,2553,202.6,2056,roy-devyn-marble-1
SG,6.4,218,234,1932,1965,2553,202.6,2056,abdel-nader-1
SG,6.4,218,234,1932,1965,2553,202.6,2056,jabari-bird-1
SG,6.4,218,234,1932,1965,2553,202.6,2056,josh-huestis-1
SG,6.4,218,234,1932,1965,2553,202.6,2056,josh-richardson-2
SG,6.4,218,234,1932,1965,2553,202.6,2056,malik-monk-1
SG,6.4,218,234,1932,1965,2553,202.6,2056,glen-rice-jr-1
SG,6.4,218,234,1932,1965,2553,202.6,2056,cj-mccollum-1
SG,6.4,218,234,1932,1965,2553,202.6,2056,darrun-hilliard-1
SG,6.4,218,234,1932,1965,2553,202.6,2056,sterling-brown-2
